Value,MSE,PSNR
3,44.9851, 31.6001
5,89.0111, 28.6364
7,141.68, 26.6177
9,172.434, 25.7646
11,199.4, 25.1336
13,223.508, 24.6379
15,242.567, 24.2825
17,259.057, 23.9969
19,275.343, 23.7321
21,287.301, 23.5474
23,301.626, 23.3361
25,312.296, 23.1851
27,323.272, 23.0351
29,333.128, 22.9047
31,342.874, 22.7795
33,350.706, 22.6814
35,360.446, 22.5624
37,368.36, 22.4681
39,376.577, 22.3723
41,384.687, 22.2797
43,392.005, 22.1979
45,400.171, 22.1083
47,405.767, 22.048
49,413.061, 21.9707
51,421.104, 21.8869
53,427.733, 21.8191
55,433.771, 21.7582
57,440.236, 21.6939
59,446.225, 21.6353
61,452.743, 21.5723
63,458.844, 21.5142
65,464.808, 21.4581
67,471.088, 21.3998
69,477.496, 21.3411
71,482.947, 21.2918
73,488.5, 21.2422
75,494.894, 21.1857
77,500.171, 21.1396
79,505.256, 21.0957
81,511.126, 21.0455
83,516.456, 21.0005
85,521.539, 20.9579
87,527.115, 20.9117
89,532.075, 20.8711
91,538.071, 20.8224
93,542.643, 20.7857
95,547.815, 20.7445
97,552.842, 20.7048
99,557.739, 20.6665
101,562.941, 20.6262
103,567.626, 20.5902
105,571.838, 20.5581
107,576.358, 20.5239
109,581.931, 20.4821
111,585.794, 20.4534
113,590.536, 20.4183
115,595.069, 20.3851
117,599.594, 20.3522
119,604.217, 20.3189
121,608.926, 20.2852
123,612.644, 20.2587
125,616.914, 20.2286
127,620.922, 20.2004
129,625.782, 20.1666
131,629.933, 20.1379
133,634.063, 20.1095
135,639.15, 20.0748
137,642.665, 20.051
139,646.862, 20.0227
141,651.358, 19.9926
143,654.824, 19.9696
145,658.153, 19.9475
147,663.298, 19.9137
149,666.538, 19.8926
