Value,MSE,PSNR
2,42774, 1.819
4,41543.6, 1.94576
6,41230.8, 1.97859
8,41101.6, 1.99221
10,40999, 2.00308
12,40942.8, 2.00903
14,40913, 2.01219
16,40882.8, 2.01539
18,40849.3, 2.01895
20,40812.9, 2.02283
22,40767.8, 2.02763
24,40767, 2.02771
26,40717.4, 2.03301
28,40717, 2.03305
30,40716.7, 2.03308
32,40716.4, 2.03311
34,40659.8, 2.03915
36,40659.6, 2.03917
38,40659.5, 2.03918
40,40659.3, 2.03921
42,40659.2, 2.03922
44,40586.8, 2.04696
46,40586.8, 2.04696
48,40586.6, 2.04698
50,40586.6, 2.04697
52,40586.6, 2.04698
54,40586.5, 2.04698
56,40586.4, 2.047
58,40586.4, 2.047
60,40586.3, 2.04701
62,40586.3, 2.04701
64,40586.2, 2.04701
66,40502.5, 2.05599
68,40502.5, 2.05599
70,40502.5, 2.05599
72,40502.4, 2.05599
74,40502.5, 2.05599
76,40502.4, 2.05599
78,40502.4, 2.05599
80,40502.4, 2.056
82,40502.4, 2.056
84,40502.4, 2.056
86,40502.4, 2.05599
88,40502.4, 2.056
90,40502.4, 2.056
92,40502.3, 2.056
94,40502.3, 2.056
96,40502.2, 2.05602
98,0.354537, 52.6342
100,40502.3, 2.05601
102,40502.3, 2.05601
104,40502.3, 2.05601
106,40502.3, 2.05601
108,40502.2, 2.05601
110,40502.3, 2.05601
112,40502.2, 2.05602
114,40502.2, 2.05601
116,40502.2, 2.05602
118,40502.2, 2.05602
120,40502.2, 2.05602
122,40502.2, 2.05602
124,40502.2, 2.05602
126,40502.1, 2.05602
128,40502.1, 2.05602
130,0.807427, 49.0598
132,0.804513, 49.0755
134,0.806298, 49.0658
136,0.798624, 49.1074
138,0.809602, 49.0481
140,0.805819, 49.0684
142,0.804274, 49.0768
144,0.787042, 49.1708
146,0.803263, 49.0822
148,0.804669, 49.0746
150,0.806664, 49.0639
152,0.797421, 49.1139
154,0.815239, 49.018
156,0.80672, 49.0636
158,0.80904, 49.0511
160,0.763716, 49.3015
162,0.806647, 49.064
164,0.804263, 49.0768
166,0.804956, 49.0731
168,0.795486, 49.1245
170,0.795808, 49.1227
172,0.811624, 49.0373
174,0.809138, 49.0506
176,0.788815, 49.1611
178,0.808081, 49.0563
180,0.804563, 49.0752
182,0.806006, 49.0674
184,0.799839, 49.1008
186,0.807453, 49.0596
188,0.805924, 49.0679
190,0.808568, 49.0536
192,0.716425, 49.5791
194,0.807628, 49.0587
196,0.808571, 49.0536
198,0.808895, 49.0519
200,0.799327, 49.1036
202,0.805185, 49.0718
204,0.800383, 49.0978
206,0.810695, 49.0422
208,0.788016, 49.1655
210,0.81046, 49.0435
212,0.805641, 49.0694
214,0.807645, 49.0586
216,0.798266, 49.1093
218,0.805631, 49.0694
220,0.80655, 49.0645
222,0.809207, 49.0502
224,0.762224, 49.31
226,0.806274, 49.066
228,0.804637, 49.0748
230,0.805808, 49.0685
232,0.795154, 49.1263
234,0.806887, 49.0627
236,0.799297, 49.1037
238,0.801961, 49.0893
240,0.781556, 49.2012
242,0.800724, 49.096
244,0.797836, 49.1117
246,0.802225, 49.0878
248,0.788393, 49.1634
250,0.793863, 49.1333
252,0.78314, 49.1924
254,0.772005, 49.2546
256,0, 0
