Value,MSE,PSNR,Time(ms)
2,27957.3, 3.66586,49.390
4,473.607, 21.3766,48.096
6,119.128, 27.3707,46.994
8,95.5797, 28.3271,47.777
10,56.0776, 30.6429,51.003
12,36.9895, 32.45,47.142
14,27.4161, 33.7507,49.295
16,21.3253, 34.8418,48.851
18,17.3999, 35.7253,48.719
20,14.2637, 36.5885,47.432
22,11.1354, 37.6637,49.727
24,9.7951, 38.2207,47.521
26,8.7715, 38.7001,47.935
28,6.68359, 39.8807,48.593
30,6.39652, 40.0714,49.406
32,5.61354, 40.6384,47.821
34,5.08507, 41.0678,50.712
36,4.28098, 41.8154,49.807
38,4.12896, 41.9724,47.567
40,3.55988, 42.6165,50.331
42,3.31364, 42.9277,48.692
44,2.99973, 43.36,47.228
46,2.82693, 43.6177,48.096
48,2.49618, 44.158,47.844
50,2.68427, 43.8425,48.916
52,2.60657, 43.9701,47.501
54,2.12761, 44.8519,49.123
56,1.99618, 45.1288,48.211
58,1.90807, 45.3249,48.532
60,1.66363, 45.9202,47.132
62,1.5573, 46.2071,49.898
64,1.5183, 46.3172,49.403
66,1.45982, 46.4878,50.551
68,1.35149, 46.8227,46.547
70,1.34054, 46.858,48.933
72,1.31341, 46.9468,49.360
74,1.2646, 47.1113,47.839
76,1.30051, 46.9897,47.648
78,1.24833, 47.1675,46.953
80,1.08645, 47.7707,48.212
82,1.15846, 47.492,47.069
84,0.895603, 48.6096,51.612
86,0.854237, 48.815,47.544
88,1.01555, 48.0638,48.316
90,1.07105, 47.8327,46.638
92,1.03314, 47.9892,49.633
94,1.06367, 47.8627,47.539
96,0.626041, 50.1648,49.830
98,1.0148, 48.067,50.256
100,0.8806, 48.683,48.290
102,1.0644, 47.8597,50.289
104,0.782963, 49.1934,48.869
106,0.800259, 49.0985,58.078
108,0.796535, 49.1188,53.408
110,0.640015, 50.0689,48.619
112,0.562428, 50.6301,49.851
114,0.60873, 50.2866,51.818
116,0.582741, 50.476,49.168
118,0.701527, 49.6704,47.388
120,0.536224, 50.8373,48.095
122,0.538429, 50.8195,48.260
124,0.509472, 51.0596,48.834
126,0.507633, 51.0753,47.473
128,0.497772, 51.1605,50.662
130,0.492512, 51.2066,47.794
132,0.489979, 51.229,47.751
134,0.503742, 51.1087,47.641
136,0.469521, 51.4143,47.167
138,0.473373, 51.3788,48.452
140,0.508183, 51.0706,48.672
142,0.52813, 50.9034,48.757
144,0.441154, 51.6849,48.094
146,0.533718, 50.8577,48.291
148,0.481792, 51.3022,47.154
150,0.513325, 51.0269,47.637
152,0.47263, 51.3856,48.150
154,0.445381, 51.6435,48.644
156,0.493298, 51.1997,48.711
158,0.479065, 51.3269,47.557
160,0.375015, 52.3903,49.973
162,0.47929, 51.3248,47.554
164,0.487419, 51.2518,48.069
166,0.492096, 51.2103,50.383
168,0.482166, 51.2988,47.304
170,0.589931, 50.4228,47.054
172,0.575634, 50.5293,48.365
174,0.507084, 51.08,46.607
176,0.435539, 51.7405,48.171
178,0.5047, 51.1005,50.722
180,0.487186, 51.2539,48.150
182,0.513527, 51.0252,50.100
184,0.464291, 51.4629,47.349
186,0.518654, 50.982,48.182
188,0.507992, 51.0722,47.527
190,0.48904, 51.2374,48.676
192,0.248199, 54.1828,49.915
194,0.496685, 51.17,50.648
196,0.509869, 51.0562,50.953
198,0.49263, 51.2056,48.301
200,0.475174, 51.3623,49.518
202,0.514961, 51.0131,49.707
204,0.440128, 51.695,46.352
206,0.470924, 51.4013,49.180
208,0.440109, 51.6952,48.290
210,0.50248, 51.1196,48.307
212,0.485348, 51.2703,49.080
214,0.492008, 51.2111,48.138
216,0.482941, 51.2919,49.667
218,0.495125, 51.1837,47.596
220,0.524559, 50.9329,47.498
222,0.47311, 51.3812,50.229
224,0.369595, 52.4535,50.704
226,0.495384, 51.1814,47.833
228,0.50745, 51.0769,48.178
230,0.469959, 51.4102,48.383
232,0.500687, 51.1351,46.977
234,0.508362, 51.0691,49.068
236,0.449879, 51.5998,47.416
238,0.499943, 51.1416,46.368
240,0.458031, 51.5219,48.326
242,0.494705, 51.1873,47.837
244,0.485317, 51.2705,49.773
246,0.483261, 51.289,48.852
248,0.507854, 51.0734,48.145
250,0.606251, 50.3043,49.882
252,0.232311, 54.4701,47.822
254,0.784771, 49.1834,48.445
256,0, 0,47.726
