Value,MSE,PSNR,Time(ms)
3,34.4771, 32.7555,341.589
5,63.2985, 30.1169,47.462
7,103.86, 27.9663,48.147
9,134.582, 26.8409,46.927
11,165.932, 25.9315,46.879
13,199.716, 25.1267,50.099
15,229.15, 24.5296,47.145
17,258.195, 24.0113,47.789
19,288.816, 23.5246,46.198
21,313.472, 23.1688,47.247
23,343.12, 22.7763,47.299
25,367.21, 22.4817,46.405
27,391.022, 22.2088,48.411
29,413.812, 21.9628,46.127
31,436.696, 21.729,46.575
33,455.055, 21.5502,48.033
35,478.158, 21.3351,48.662
37,497.442, 21.1634,48.151
39,516.992, 20.996,47.436
41,535.726, 20.8414,47.117
43,553.526, 20.6994,48.240
45,573.439, 20.5459,47.737
47,586.753, 20.4462,47.439
49,604.416, 20.3174,48.067
51,623.955, 20.1793,48.474
53,639.756, 20.0707,49.032
55,654.285, 19.9731,50.198
57,669.865, 19.8709,48.785
59,684.12, 19.7795,50.099
61,699.461, 19.6832,49.206
63,714.198, 19.5926,48.726
65,728.126, 19.5087,49.252
67,742.531, 19.4237,53.820
69,756.948, 19.3401,50.883
71,769.887, 19.2665,49.604
73,782.568, 19.1956,50.350
75,797.532, 19.1133,53.021
77,809.093, 19.0508,48.570
79,820.296, 18.9911,51.084
81,833.565, 18.9214,50.656
83,844.617, 18.8642,52.225
85,856.441, 18.8038,51.125
87,868.356, 18.7438,51.400
89,877.979, 18.696,52.959
91,891.733, 18.6285,50.894
93,900.627, 18.5854,53.986
95,911.711, 18.5322,51.745
97,922.536, 18.481,53.074
99,932.248, 18.4355,52.744
101,942.597, 18.3875,54.248
103,951.739, 18.3456,55.660
105,960.402, 18.3063,53.705
107,968.833, 18.2683,54.560
109,980.189, 18.2177,54.338
111,987.127, 18.1871,56.934
113,995.767, 18.1492,55.722
115,1004.89, 18.1096,54.976
117,1012.89, 18.0752,55.529
119,1021.53, 18.0383,57.727
121,1030.44, 18.0006,56.644
123,1036.98, 17.9731,56.625
125,1044.89, 17.9401,58.711
127,1051.49, 17.9128,60.907
129,1060.8, 17.8745,58.780
131,1067.14, 17.8486,59.222
133,1075.12, 17.8162,58.599
135,1085.26, 17.7755,60.080
137,1091.05, 17.7524,60.476
139,1097.9, 17.7252,59.934
141,1105.65, 17.6946,61.604
143,1111.61, 17.6713,61.495
145,1116.72, 17.6514,61.013
147,1125.74, 17.6164,61.793
149,1130.58, 17.5978,62.627
