Value,MSE,PSNR,Time(ms)
3,68.7041, 29.761,56.506
5,120.55, 27.3191,51.586
7,184.771, 25.4645,48.936
9,226.7, 24.5763,50.759
11,266.502, 23.8738,50.404
13,306.054, 23.2728,49.918
15,339.74, 22.8193,51.250
17,371.495, 22.4313,49.706
19,404.33, 22.0634,49.521
21,430.639, 21.7897,52.121
23,462.007, 21.4843,50.361
25,487.664, 21.2496,51.039
27,514.167, 21.0198,49.305
29,538.869, 20.816,50.833
31,563.51, 20.6218,50.914
33,585.449, 20.4559,50.811
35,610.785, 20.2719,50.989
37,633.235, 20.1152,52.659
39,656.01, 19.9617,50.957
41,678.447, 19.8156,52.251
43,699.892, 19.6805,51.448
45,723.28, 19.5377,51.905
47,740.712, 19.4343,51.527
49,762.599, 19.3078,52.915
51,785.754, 19.1779,51.909
53,805.749, 19.0688,53.523
55,824.873, 18.9669,52.410
57,844.251, 18.8661,53.144
59,863.274, 18.7693,52.830
61,883.006, 18.6712,53.384
63,902.326, 18.5772,52.825
65,920.359, 18.4912,54.244
67,940.33, 18.398,53.941
69,960.325, 18.3066,55.217
71,977.678, 18.2288,53.725
73,995.37, 18.151,55.589
75,1014.86, 18.0667,53.201
77,1031.77, 17.995,55.766
79,1048.21, 17.9263,54.319
81,1066.14, 17.8527,58.684
83,1083.59, 17.7822,55.197
85,1099.79, 17.7177,55.837
87,1117.2, 17.6495,57.662
89,1133.41, 17.5869,56.080
91,1152.58, 17.5141,57.485
93,1167.56, 17.458,57.690
95,1183.26, 17.4,58.579
97,1199.38, 17.3413,56.868
99,1215.29, 17.284,60.371
101,1231.85, 17.2252,59.462
103,1247.07, 17.1719,59.475
105,1260.81, 17.1243,58.830
107,1275.04, 17.0756,61.081
109,1292.72, 17.0158,61.963
111,1305.27, 16.9738,64.764
113,1320.73, 16.9227,62.289
115,1335.06, 16.8758,64.164
117,1349.69, 16.8285,62.102
119,1364.1, 16.7823,65.186
121,1379.23, 16.7344,62.042
123,1391.13, 16.6971,64.962
125,1404.75, 16.6548,65.123
127,1417.59, 16.6153,66.628
129,1433.22, 16.5677,65.797
131,1446.52, 16.5276,66.275
133,1459.65, 16.4883,65.966
135,1474.8, 16.4435,66.962
137,1486, 16.4106,65.411
139,1499.31, 16.3719,69.340
141,1513.67, 16.3305,68.045
143,1524.31, 16.3001,70.285
145,1534.72, 16.2705,75.127
147,1550.59, 16.2258,72.037
149,1560.51, 16.1981,70.873
