Value,MSE,PSNR,Time(ms)
3,17.2554, 35.7616,51.603
5,33.0391, 32.9405,46.182
7,56.447, 30.6144,46.573
9,74.4209, 29.4139,47.785
11,93.0309, 28.4445,46.792
13,112.94, 27.6023,47.100
15,130.841, 26.9634,46.866
17,148.791, 26.405,48.473
19,167.759, 25.8839,47.149
21,184.088, 25.4805,47.184
23,203.136, 25.0529,47.369
25,219.818, 24.7102,47.256
27,237.257, 24.3786,46.008
29,253.649, 24.0885,47.390
31,270.054, 23.8163,47.732
33,285.586, 23.5734,47.435
35,302.809, 23.3191,46.912
37,318.755, 23.0962,46.942
39,334.787, 22.8831,46.510
41,350.56, 22.6832,47.396
43,365.895, 22.4972,47.611
45,382.483, 22.3047,47.828
47,395.31, 22.1614,47.738
49,411.116, 21.9912,49.023
51,427.556, 21.8209,48.095
53,442.013, 21.6765,49.079
55,456.037, 21.5408,50.911
57,470.005, 21.4098,49.932
59,483.936, 21.2829,49.257
61,498.111, 21.1575,48.290
63,512.305, 21.0355,49.441
65,525.365, 20.9262,49.330
67,539.994, 20.8069,49.122
69,554.468, 20.692,51.468
71,567.217, 20.5933,51.102
73,580.207, 20.495,49.711
75,594.274, 20.3909,49.382
77,606.7, 20.3011,52.841
79,618.841, 20.215,49.498
81,631.919, 20.1242,50.921
83,644.686, 20.0373,51.623
85,656.774, 19.9566,51.419
87,669.489, 19.8734,53.301
89,681.395, 19.7968,52.405
91,695.782, 19.7061,51.491
93,706.851, 19.6375,53.974
95,718.507, 19.5665,52.613
97,730.375, 19.4953,52.363
99,742.278, 19.4251,53.311
101,754.587, 19.3537,53.325
103,765.966, 19.2887,53.536
105,776.557, 19.2291,54.963
107,787.103, 19.1705,54.539
109,800.507, 19.0972,57.549
111,810.01, 19.0459,57.500
113,821.672, 18.9838,58.107
115,832.673, 18.9261,57.010
117,843.789, 18.8685,54.898
119,854.664, 18.8128,55.627
121,866.45, 18.7534,56.844
123,875.626, 18.7076,58.779
125,886.174, 18.6556,56.534
127,896.005, 18.6077,58.924
129,908.247, 18.5488,58.930
131,918.571, 18.4997,58.378
133,929.06, 18.4504,58.273
135,940.719, 18.3962,59.919
137,949.569, 18.3555,60.628
139,960.08, 18.3077,61.225
141,971.319, 18.2572,62.105
143,979.892, 18.219,62.879
145,988.159, 18.1825,63.095
147,1000.97, 18.1266,-824.851
149,1008.79, 18.0928,63.610
