Value,MSE,PSNR,Time(ms)
2,5079.97, 11.0722,47.235
4,434.224, 21.7537,48.700
6,145.844, 26.4919,47.882
8,89.4488, 28.6151,47.782
10,50.6772, 31.0827,47.422
12,37.6121, 32.3775,47.947
14,28.5572, 33.5736,47.907
16,20.8102, 34.948,48.605
18,16.5517, 35.9424,48.080
20,13.7948, 36.7336,47.750
22,11.517, 37.5174,47.012
24,9.62145, 38.2984,47.726
26,8.24961, 38.9665,49.460
28,7.21456, 39.5487,49.543
30,6.37577, 40.0855,48.189
32,5.51081, 40.7186,48.736
34,4.96808, 41.1689,48.630
36,4.50335, 41.5954,49.108
38,4.10452, 41.9982,48.804
40,3.5535, 42.6242,47.565
42,3.25015, 43.0118,48.390
44,2.99185, 43.3714,49.038
46,2.85766, 43.5707,47.066
48,2.43956, 44.2577,49.308
50,2.5483, 44.0683,49.784
52,2.34682, 44.426,49.363
54,2.26117, 44.5875,47.831
56,1.96312, 45.2013,47.299
58,1.90993, 45.3206,47.686
60,1.75204, 45.6954,48.884
62,1.61363, 46.0528,47.656
64,1.49775, 46.3764,49.213
66,1.44643, 46.5278,47.529
68,1.39016, 46.7001,46.694
70,1.40589, 46.6513,50.072
72,1.27648, 47.0707,47.759
74,1.3382, 46.8656,48.714
76,1.26793, 47.0999,47.785
78,1.2657, 47.1075,49.808
80,1.06745, 47.8473,48.567
82,1.22379, 47.2537,49.194
84,1.15122, 47.5192,47.054
86,1.21169, 47.2969,47.763
88,1.0223, 48.035,47.579
90,1.06433, 47.8601,48.006
92,1.01916, 48.0484,49.333
94,0.997131, 48.1433,47.340
96,0.628281, 50.1493,50.616
98,0.957127, 48.3211,49.669
100,0.891579, 48.6292,47.873
102,0.838615, 48.8952,47.480
104,0.778835, 49.2163,48.041
106,0.819466, 48.9955,49.131
108,0.763454, 49.303,46.992
110,0.791832, 49.1445,49.543
112,0.563236, 50.6239,50.029
114,0.723339, 49.5374,48.992
116,0.642044, 50.0552,47.433
118,0.613346, 50.2537,48.987
120,0.532883, 50.8645,47.935
122,0.582523, 50.4777,48.792
124,0.51619, 51.0027,49.285
126,0.506409, 51.0858,49.306
128,0.501442, 51.1286,49.984
130,0.493408, 51.1987,49.301
132,0.48386, 51.2836,46.636
134,0.489243, 51.2356,46.210
136,0.467758, 51.4306,48.547
138,0.499382, 51.1465,47.815
140,0.484184, 51.2807,48.524
142,0.482338, 51.2973,49.089
144,0.437897, 51.7171,48.205
146,0.481876, 51.3014,47.399
148,0.483967, 51.2826,47.886
150,0.493919, 51.1942,48.500
152,0.466763, 51.4398,49.355
154,0.511471, 51.0426,48.566
156,0.483669, 51.2853,47.315
158,0.497509, 51.1628,47.965
160,0.372227, 52.4227,48.576
162,0.495296, 51.1822,47.433
164,0.483635, 51.2856,48.527
166,0.49527, 51.1824,49.235
168,0.468727, 51.4216,50.790
170,0.465462, 51.452,47.252
172,0.480938, 51.3099,48.618
174,0.483948, 51.2828,49.573
176,0.438095, 51.7151,48.522
178,0.48925, 51.2355,47.820
180,0.483566, 51.2862,48.927
182,0.486359, 51.2612,46.916
184,0.467403, 51.4339,48.357
186,0.487003, 51.2555,47.491
188,0.482597, 51.295,47.712
190,0.491337, 51.217,48.760
192,0.250778, 54.1379,48.419
194,0.494049, 51.1931,46.637
196,0.500172, 51.1396,48.463
198,0.495674, 51.1788,48.921
200,0.4673, 51.4348,46.874
202,0.490894, 51.2209,49.176
204,0.484993, 51.2734,49.824
206,0.506073, 51.0887,48.021
208,0.438194, 51.7141,48.602
210,0.496746, 51.1695,48.150
212,0.485233, 51.2713,48.013
214,0.501671, 51.1266,49.594
216,0.466763, 51.4398,49.854
218,0.494244, 51.1914,50.119
220,0.483246, 51.2891,50.346
222,0.499458, 51.1458,46.275
224,0.373142, 52.4121,48.873
226,0.496323, 51.1732,47.558
228,0.481983, 51.3005,48.896
230,0.493614, 51.1969,51.181
232,0.465187, 51.4545,48.747
234,0.493313, 51.1996,47.405
236,0.480099, 51.3175,48.433
238,0.492805, 51.204,49.294
240,0.440559, 51.6908,49.265
242,0.501484, 51.1282,50.493
244,0.479767, 51.3205,50.008
246,0.516949, 50.9963,47.832
248,0.468334, 51.4252,47.869
250,0.46397, 51.4659,47.540
252,0.491322, 51.2171,48.947
254,0.413731, 51.9636,50.957
256,0, 0,47.568
